t	Theta Leapfrog	Energy 
4.68	-0.0104042	0.00203007
4.69	-0.00977439	0.00202264
4.7	-0.00914731	0.00201427
4.71	-0.00851823	0.00200686
4.72	-0.00789173	0.0019985
4.73	-0.00726368	0.00199112
4.74	-0.00663802	0.00198278
4.75	-0.00601124	0.00197544
4.76	-0.00538666	0.00196713
4.77	-0.0047614	0.00195982
4.78	-0.00413815	0.00195154
4.79	-0.00351465	0.00194427
4.8	-0.00289297	0.00193603
4.81	-0.00227148	0.00192882
4.82	-0.0016516	0.00192063
4.83	-0.00103237	0.00191346
4.84	-0.000414533	0.00190532
4.85	0.000202216	0.00189822
4.86	0.000817765	0.00189014
4.87	0.00143179	0.0018831
4.88	0.00204482	0.00187509
4.89	0.00265588	0.00186811
4.9	0.00326615	0.00186017
4.91	0.00387402	0.00185327
4.92	0.00448131	0.00184541
4.93	0.00508575	0.00183858
4.94	0.00568983	0.00183081
4.95	0.00629061	0.00182406
4.96	0.00689126	0.00181638
4.97	0.00748816	0.00180971
4.98	0.00808513	0.00180213
4.99	0.00867793	0.00179555
5	0.00927102	0.00178807
5.01	0.00985948	0.00178159
5.02	0.0104485	0.00177421
5.03	0.0110324	0.00176783
5.04	0.011617	0.00176056
5.05	0.0121962	0.00175428
5.06	0.0127763	0.00174713
5.07	0.0133505	0.00174095
5.08	0.0139259	0.00173392
5.09	0.0144949	0.00172784
5.1	0.0150653	0.00172094
5.11	0.0156289	0.00171498
5.12	0.0161941	0.00170821
5.13	0.0167521	0.00170235
5.14	0.017312	0.00169572
5.15	0.0178642	0.00168998
5.16	0.0184185	0.00168348
5.17	0.0189647	0.00167786
5.18	0.0195132	0.0016715
5.19	0.0200532	0.001666
5.2	0.0205958	0.00165979
5.21	0.0211294	0.00165441
5.22	0.0216658	0.00164835
5.23	0.0221928	0.00164309
5.24	0.0227229	0.00163719
5.25	0.0232432	0.00163205
5.26	0.0237667	0.0016263
5.27	0.02428	0.00162129
5.28	0.0247969	0.0016157
5.29	0.0253031	0.00161082
5.3	0.025813	0.00160538
5.31	0.0263119	0.00160063
5.32	0.0268148	0.00159535
5.33	0.0273062	0.00159073
5.34	0.0278019	0.00158562
5.35	0.0282857	0.00158113
5.36	0.0287739	0.00157618
5.37	0.0292499	0.00157182
5.38	0.0297306	0.00156704
5.39	0.0301986	0.00156281
5.4	0.0306716	0.00155819
5.41	0.0311315	0.0015541
5.42	0.0315966	0.00154965
5.43	0.0320482	0.00154568
5.44	0.0325053	0.0015414
5.45	0.0329485	0.00153757
5.46	0.0333974	0.00153345
5.47	0.033832	0.00152975
5.48	0.0342725	0.0015258
5.49	0.0346985	0.00152223
5.5	0.0351306	0.00151845
5.51	0.0355477	0.00151501
5.52	0.0359711	0.0015114
5.53	0.0363793	0.00150808
5.54	0.036794	0.00150464
5.55	0.037193	0.00150145
5.56	0.0375989	0.00149817
5.57	0.0379887	0.00149511
5.58	0.0383855	0.00149199
5.59	0.038766	0.00148905
5.6	0.0391537	0.0014861
5.61	0.0395247	0.00148328
5.62	0.0399032	0.00148049
5.63	0.0402647	0.0014778
5.64	0.0406338	0.00147517
5.65	0.0409856	0.00147259
5.66	0.0413452	0.00147012
5.67	0.0416872	0.00146765
5.68	0.0420373	0.00146534
5.69	0.0423694	0.00146299
5.7	0.0427099	0.00146082
5.71	0.043032	0.00145859
5.72	0.0433627	0.00145657
5.73	0.0436748	0.00145444
5.74	0.0439956	0.00145258
5.75	0.0442975	0.00145056
5.76	0.0446084	0.00144883
5.77	0.0449001	0.00144691
5.78	0.0452009	0.00144533
5.79	0.0454823	0.00144351
5.8	0.0457731	0.00144207
5.81	0.0460441	0.00144035
5.82	0.0463247	0.00143903
5.83	0.0465853	0.00143741
5.84	0.0468556	0.00143622
5.85	0.0471056	0.00143469
5.86	0.0473656	0.00143363
5.87	0.0476051	0.00143218
5.88	0.0478548	0.00143125
5.89	0.0480837	0.00142988
5.9	0.0483228	0.00142907
5.91	0.0485411	0.00142778
5.92	0.0487698	0.00142708
5.93	0.0489772	0.00142587
5.94	0.0491954	0.00142527
5.95	0.0493921	0.00142414
5.96	0.0495997	0.00142365
5.97	0.0497857	0.00142258
5.98	0.0499827	0.00142219
5.99	0.0501578	0.00142119
6	0.0503441	0.00142089
6.01	0.0505083	0.00141995
6.02	0.050684	0.00141974
6.03	0.0508373	0.00141886
6.04	0.0510023	0.00141874
6.05	0.0511447	0.00141791
6.06	0.0512989	0.00141786
6.07	0.0514305	0.00141708
6.08	0.0515739	0.00141711
6.09	0.0516946	0.00141638
6.1	0.0518273	0.00141648
6.11	0.051937	0.00141578
6.12	0.0520589	0.00141594
6.13	0.0521577	0.00141529
6.14	0.0522688	0.00141551
6.15	0.0523567	0.00141489
6.16	0.052457	0.00141516
6.17	0.052534	0.00141457
6.18	0.0526235	0.00141489
6.19	0.0526896	0.00141432
6.2	0.0527684	0.00141468
6.21	0.0528235	0.00141414
6.22	0.0528916	0.00141453
6.23	0.0529359	0.00141401
6.24	0.0529932	0.00141443
6.25	0.0530266	0.00141392
6.26	0.0530732	0.00141437
6.27	0.0530959	0.00141387
6.28	0.0531317	0.00141434
6.29	0.0531436	0.00141384
6.3	0.0531688	0.00141433
6.31	0.05317	0.00141383
6.32	0.0531845	0.00141433
6.33	0.053175	0.00141383
6.34	0.0531789	0.00141433
6.35	0.0531587	0.00141382
6.36	0.0531522	0.00141432
6.37	0.0531214	0.00141381
6.38	0.0531043	0.0014143
6.39	0.0530629	0.00141377
6.4	0.0530353	0.00141425
6.41	0.0529835	0.00141371
6.42	0.0529455	0.00141417
6.43	0.0528833	0.00141361
6.44	0.052835	0.00141405
6.45	0.0527624	0.00141346
6.46	0.0527037	0.00141388
6.47	0.0526208	0.00141326
6.48	0.052552	0.00141364
6.49	0.0524589	0.001413
6.5	0.0523799	0.00141335
6.51	0.0522766	0.00141267
6.52	0.0521875	0.00141297
6.53	0.0520742	0.00141226
6.54	0.0519751	0.00141252
6.55	0.0518518	0.00141177
6.56	0.0517428	0.00141198
6.57	0.0516097	0.00141118
6.58	0.0514908	0.00141134
6.59	0.0513478	0.0014105
6.6	0.0512192	0.0014106
6.61	0.0510666	0.00140971
6.62	0.0509282	0.00140975
6.63	0.050766	0.00140881
6.64	0.0506181	0.00140878
6.65	0.0504464	0.00140779
6.66	0.050289	0.00140769
6.67	0.0501079	0.00140665
6.68	0.0499412	0.00140648
6.69	0.0497508	0.00140538
6.7	0.0495748	0.00140513
6.71	0.0493753	0.00140397
6.72	0.0491901	0.00140364
6.73	0.0489815	0.00140243
6.74	0.0487872	0.00140202
6.75	0.0485698	0.00140074
6.76	0.0483665	0.00140024
6.77	0.0481403	0.0013989
6.78	0.0479282	0.00139831
6.79	0.0476933	0.00139691
6.8	0.0474725	0.00139623
6.81	0.047229	0.00139476
6.82	0.0469997	0.00139399
6.83	0.0467478	0.00139245
6.84	0.04651	0.00139158
6.85	0.0462498	0.00138998
6.86	0.0460037	0.00138901
6.87	0.0457353	0.00138734
6.88	0.045481	0.00138627
6.89	0.0452047	0.00138453
6.9	0.0449422	0.00138336
6.91	0.0446581	0.00138155
6.92	0.0443877	0.00138028
6.93	0.0440958	0.00137839
6.94	0.0438177	0.00137702
6.95	0.0435182	0.00137506
6.96	0.0432324	0.00137359
6.97	0.0429256	0.00137156
6.98	0.0426323	0.00136997
6.99	0.0423181	0.00136788
7	0.0420175	0.00136619
7.01	0.0416962	0.00136402
7.02	0.0413884	0.00136222
7.03	0.0410602	0.00135998
7.04	0.0407452	0.00135807
7.05	0.0404102	0.00135577
7.06	0.0400884	0.00135375
7.07	0.0397468	0.00135137
7.08	0.0394182	0.00134925
7.09	0.0390701	0.0013468
7.1	0.0387349	0.00134457
7.11	0.0383806	0.00134206
7.12	0.0380389	0.00133972
7.13	0.0376784	0.00133714
7.14	0.0373305	0.00133469
7.15	0.0369641	0.00133204
7.16	0.03661	0.00132949
7.17	0.0362378	0.00132678
7.18	0.0358778	0.00132412
7.19	0.0354999	0.00132134
7.2	0.0351342	0.00131858
7.21	0.0347509	0.00131574
7.22	0.0343795	0.00131288
7.23	0.0339909	0.00130997
7.24	0.0336141	0.00130701
7.25	0.0332204	0.00130405
7.26	0.0328384	0.00130098
7.27	0.0324398	0.00129796
7.28	0.0320526	0.0012948
7.29	0.0316493	0.00129172
7.3	0.0312572	0.00128846
7.31	0.0308493	0.00128533
7.32	0.0304524	0.00128198
7.33	0.0300402	0.00127879
7.34	0.0296388	0.00127535
7.35	0.0292223	0.00127211
7.36	0.0288165	0.00126858
7.37	0.0283961	0.00126529
7.38	0.027986	0.00126167
7.39	0.0275618	0.00125834
7.4	0.0271477	0.00125464
7.41	0.0267198	0.00125126
7.42	0.0263019	0.00124747
7.43	0.0258705	0.00124405
7.44	0.0254489	0.00124019
7.45	0.0250143	0.00123673
7.46	0.0245892	0.00123279
7.47	0.0241515	0.00122929
7.48	0.0237231	0.00122528
7.49	0.0232826	0.00122175
7.5	0.022851	0.00121767
7.51	0.0224078	0.0012141
7.52	0.0219732	0.00120996
7.53	0.0215275	0.00120636
7.54	0.0210902	0.00120216
7.55	0.0206422	0.00119853
7.56	0.0202023	0.00119427
7.57	0.0197522	0.00119061
7.58	0.0193099	0.0011863
7.59	0.0188578	0.00118262
7.6	0.0184133	0.00117825
7.61	0.0179595	0.00117456
7.62	0.017513	0.00117014
7.63	0.0170576	0.00116643
7.64	0.0166092	0.00116197
7.65	0.0161525	0.00115824
7.66	0.0157024	0.00115374
7.67	0.0152445	0.00115
7.68	0.014793	0.00114547
7.69	0.0143341	0.00114172
7.7	0.0138813	0.00113715
7.71	0.0134216	0.00113339
7.72	0.0129677	0.0011288
7.73	0.0125074	0.00112504
7.74	0.0120526	0.00112042
7.75	0.0115919	0.00111666
7.76	0.0111363	0.00111202
7.77	0.0106753	0.00110826
7.78	0.0102192	0.00110361
7.79	0.00975822	0.00109986
7.8	0.00930176	0.00109519
7.81	0.00884086	0.00109144
7.82	0.00838421	0.00108677
7.83	0.00792364	0.00108303
7.84	0.00746698	0.00107835
7.85	0.00700692	0.00107463
7.86	0.00655043	0.00106995
7.87	0.00609106	0.00106624
7.88	0.00563492	0.00106157
7.89	0.00517642	0.00105788
7.9	0.00472082	0.00105321
7.91	0.00426337	0.00104954
7.92	0.00380848	0.00104489
7.93	0.00335227	0.00104124
7.94	0.00289827	0.00103661
7.95	0.00244347	0.00103298
7.96	0.00199052	0.00102837
7.97	0.00153732	0.00102477
7.98	0.00108561	0.00102018
7.99	0.000634169	0.00101661
8	0.000183877	0.00101205
8.01	-0.000265624	0.00100851
8.02	-0.000714331	0.00100398
8.03	-0.00116172	0.00100048
8.04	-0.00160867	0.000995989
8.05	-0.00205377	0.000992517
8.06	-0.0024988	0.000988069
8.07	-0.00294144	0.000984634
8.08	-0.00338437	0.000980229
8.09	-0.00382439	0.000976835
8.1	-0.00426507	0.000972477
8.11	-0.00470229	0.000969124
8.12	-0.00514054	0.000964816
8.13	-0.0055748	0.000961507
8.14	-0.00601047	0.000957253
8.15	-0.00644161	0.000953988
8.16	-0.00687452	0.000949792
8.17	-0.00730238	0.000946574
8.18	-0.00773239	0.000942438
8.19	-0.0081568	0.000939268
8.2	-0.00858374	0.000935195
8.21	-0.00900455	0.000932076
8.22	-0.00942827	0.000928069
8.23	-0.00984533	0.000925
8.24	-0.0102657	0.000921063
8.25	-0.0106788	0.000918047
8.26	-0.0110956	0.000914181
8.27	-0.0115047	0.000911219
8.28	-0.0119178	0.000907428
8.29	-0.0123227	0.000904521
8.3	-0.012732	0.000900806
8.31	-0.0131325	0.000897955
8.32	-0.0135378	0.00089432
8.33	-0.0139339	0.000891526
8.34	-0.0143351	0.000887972
8.35	-0.0147264	0.000885236
8.36	-0.0151234	0.000881766
8.37	-0.01551	0.000879088
8.38	-0.0159025	0.000875703
8.39	-0.0162842	0.000873086
8.4	-0.0166722	0.000869788
8.41	-0.0170488	0.00086723
8.42	-0.0174321	0.000864022
8.43	-0.0178036	0.000861524
8.44	-0.0181821	0.000858406
8.45	-0.0185482	0.00085597
8.46	-0.0189218	0.000852944
8.47	-0.0192825	0.000850569
8.48	-0.019651	0.000847636
8.49	-0.0200061	0.000845323
8.5	-0.0203694	0.000842484
8.51	-0.0207189	0.000840232
8.52	-0.0210769	0.00083749
8.53	-0.0214205	0.000835299
8.54	-0.0217731	0.000832652
