t	Theta Leapfrog	Energy 
391	-0.1	760.505
392	-39.1	0.835908
393	0.1	768.325
394	39.3	1.03509
395	-0.1	776.185
396	-39.5	1.23307
397	0.1	784.085
398	39.7	1.42195
399	-0.1	792.025
400	-39.9	1.59422
401	0.1	800.005
402	40.1	1.74299
403	-0.1	808.025
404	-40.3	1.86235
405	0.1	816.085
406	40.5	1.94752
407	-0.1	824.185
408	-40.7	1.99512
409	0.1	832.325
410	40.9	2.00324
411	-0.1	840.505
412	-41.1	1.97157
413	0.1	848.725
414	41.3	1.90137
415	-0.1	856.985
416	-41.5	1.79542
417	0.1	865.285
418	41.7	1.65797
419	-0.1	873.625
420	-41.9	1.49449
421	0.1	882.005
422	42.1	1.31149
423	-0.1	890.425
424	-42.3	1.11627
425	0.1	898.885
426	42.5	0.916616
427	-0.1	907.385
428	-42.7	0.720486
429	0.1	915.925
430	42.9	0.535699
431	-0.1	924.505
432	-43.1	0.369621
433	0.1	933.125
434	43.3	0.228874
435	-0.1	941.785
436	-43.5	0.119068
437	0.1	950.485
438	43.7	0.0445819
439	-0.1	959.225
440	-43.9	0.0083845
441	0.1	968.005
442	44.1	0.011919
443	-0.1	976.825
444	-44.3	0.0550445
445	0.1	985.685
446	44.5	0.136042
447	-0.1	994.585
448	-44.7	0.251682
449	0.1	1003.52
450	44.9	0.397354
451	-0.1	1012.5
452	-45.1	0.567251
453	0.1	1021.52
454	45.3	0.7546
455	-0.1	1030.58
456	-45.5	0.951931
457	0.1	1039.68
458	45.7	1.15138
459	-0.1	1048.82
460	-45.9	1.34499
461	0.1	1058
462	46.1	1.52505
463	-0.1	1067.22
464	-46.3	1.68437
465	0.1	1076.48
466	46.5	1.81661
467	-0.1	1085.78
468	-46.7	1.9165
469	0.1	1095.12
470	46.9	1.98004
471	-0.1	1104.5
472	-47.1	2.00471
473	0.1	1113.92
474	47.3	1.98953
475	-0.1	1123.38
476	-47.5	1.9351
477	0.1	1132.88
478	47.7	1.84359
479	-0.1	1142.42
480	-47.9	1.71864
481	0.1	1152
482	48.1	1.56525
483	-0.1	1161.62
484	-48.3	1.38952
485	0.1	1171.28
486	48.5	1.19846
487	-0.1	1180.98
488	-48.7	0.999686
489	0.1	1190.72
490	48.9	0.801126
491	-0.1	1200.5
492	-49.1	0.610693
493	0.1	1210.32
494	49.3	0.43598
495	-0.1	1220.18
496	-49.5	0.283952
497	0.1	1230.08
498	49.7	0.16067
499	-0.1	1240.02
500	-49.9	0.0710486
501	0.1	1250
502	50.1	0.018661
503	-0.1	1260.02
504	-50.3	0.00559567
505	0.1	1270.08
506	50.5	0.0323734
507	-0.1	1280.18
508	-50.7	0.0979268
509	0.1	1290.32
510	50.9	0.199642
511	-0.1	1300.5
512	-51.1	0.333465
513	0.1	1310.72
514	51.3	0.494059
515	-0.1	1320.98
516	-51.5	0.675023
517	0.1	1331.28
518	51.7	0.869143
519	-0.1	1341.62
520	-51.9	1.06868
521	0.1	1352
522	52.1	1.26567
523	-0.1	1362.42
524	-52.3	1.45228
525	0.1	1372.88
526	52.5	1.62105
527	-0.1	1383.38
528	-52.7	1.76527
529	0.1	1393.92
530	52.9	1.87917
531	-0.1	1404.5
532	-53.1	1.95822
533	0.1	1415.12
534	53.3	1.99927
535	-0.1	1425.78
536	-53.5	2.00069
537	0.1	1436.48
538	53.7	1.9624
539	-0.1	1447.22
540	-53.9	1.88595
541	0.1	1458
542	54.1	1.77438
543	-0.1	1468.82
544	-54.3	1.63214
545	0.1	1479.68
546	54.5	1.46489
547	-0.1	1490.58
548	-54.7	1.27931
549	0.1	1501.52
550	54.9	1.08279
551	-0.1	1512.5
552	-55.1	0.883175
553	0.1	1523.52
554	55.3	0.688414
555	-0.1	1534.58
556	-55.5	0.506274
557	0.1	1545.68
558	55.7	0.344017
559	-0.1	1556.82
560	-55.9	0.208111
561	0.1	1568
562	56.1	0.103974
563	-0.1	1579.22
564	-56.3	0.0357588
565	0.1	1590.48
566	56.5	0.00618404
567	-0.1	1601.78
568	-56.7	0.0164289
569	0.1	1613.12
570	56.9	0.0660849
571	-0.1	1624.5
572	-57.1	0.153173
573	0.1	1635.92
574	57.3	0.27422
575	-0.1	1647.38
576	-57.5	0.424401
577	0.1	1658.88
578	57.7	0.597729
579	-0.1	1670.42
580	-57.9	0.787293
581	0.1	1682
582	58.1	0.985537
583	-0.1	1693.62
584	-58.3	1.18456
585	0.1	1705.28
586	58.5	1.37642
587	-0.1	1716.98
588	-58.7	1.55347
589	0.1	1728.72
590	58.9	1.70866
591	-0.1	1740.5
592	-59.1	1.8358
593	0.1	1752.32
594	59.3	1.92981
595	-0.1	1764.18
596	-59.5	1.98696
597	0.1	1776.08
598	59.7	2.00495
599	-0.1	1788.02
600	-59.9	1.98309
601	0.1	1800
602	60.1	1.92222
603	-0.1	1812.02
604	-60.3	1.8248
605	0.1	1824.08
606	60.5	1.69469
607	-0.1	1836.18
608	-60.7	1.53708
609	0.1	1848.32
610	60.9	1.35826
611	-0.1	1860.5
612	-61.1	1.16536
613	0.1	1872.72
614	61.3	0.966067
615	-0.1	1884.98
616	-61.5	0.768324
617	0.1	1897.28
618	61.7	0.580017
619	-0.1	1909.62
620	-61.9	0.408653
621	0.1	1922
622	62.1	0.261063
623	-0.1	1934.42
624	-62.3	0.143131
625	0.1	1946.88
626	62.5	0.0595598
627	-0.1	1959.38
628	-62.7	0.01368
629	0.1	1971.92
630	62.9	0.0073211
631	-0.1	1984.5
632	-63.1	0.0407365
633	0.1	1997.12
634	63.3	0.112594
635	-0.1	2009.78
636	-63.5	0.220029
637	0.1	2022.48
638	63.7	0.358758
639	-0.1	2035.22
640	-63.9	0.523251
641	0.1	2048
642	64.1	0.70695
643	-0.1	2060.82
644	-64.3	0.902531
645	0.1	2073.68
646	64.5	1.1022
647	-0.1	2086.58
648	-64.7	1.29799
649	0.1	2099.52
650	64.9	1.4821
651	-0.1	2112.5
652	-65.1	1.64719
653	0.1	2125.52
654	65.3	1.78668
655	-0.1	2138.58
656	-65.5	1.895
657	0.1	2151.68
658	65.7	1.96785
659	-0.1	2164.82
660	-65.9	2.0023
661	0.1	2178
662	66.1	1.997
663	-0.1	2191.22
664	-66.3	1.95215
665	0.1	2204.48
666	66.5	1.86954
667	-0.1	2217.78
668	-66.7	1.75247
669	0.1	2231.12
670	66.9	1.60559
671	-0.1	2244.5
672	-67.1	1.43477
673	0.1	2257.92
674	67.3	1.24682
675	-0.1	2271.38
676	-67.5	1.04923
677	0.1	2284.88
678	67.7	0.849871
679	-0.1	2298.42
680	-67.9	0.656699
681	0.1	2312
682	68.1	0.477413
683	-0.1	2325.62
684	-68.3	0.31916
685	0.1	2339.28
686	68.5	0.188249
687	-0.1	2352.98
688	-68.7	0.0898992
689	0.1	2366.72
690	68.9	0.0280318
691	-0.1	2380.5
692	-69.1	0.00511307
693	0.1	2394.32
694	69.3	0.0220567
695	-0.1	2408.18
696	-69.5	0.0781872
697	0.1	2422.08
698	69.7	0.171267
699	-0.1	2436.02
700	-69.9	0.297585
701	0.1	2450
702	70.1	0.452105
703	-0.1	2464.02
704	-70.3	0.628667
705	0.1	2478.08
706	70.5	0.820233
707	-0.1	2492.18
708	-70.7	1.01916
709	0.1	2506.32
710	70.9	1.21753
711	-0.1	2520.5
712	-71.1	1.40743
713	0.1	2534.72
714	71.3	1.58128
715	-0.1	2548.98
716	-71.5	1.73215
717	0.1	2563.28
718	71.7	1.85404
719	-0.1	2577.62
720	-71.9	1.94208
721	0.1	2592
722	72.1	1.99276
723	-0.1	2606.42
724	-72.3	2.00406
725	0.1	2620.88
726	72.5	1.97553
727	-0.1	2635.38
728	-72.7	1.90831
729	0.1	2649.92
730	72.9	1.80508
731	-0.1	2664.5
732	-73.1	1.66995
733	0.1	2679.12
734	73.3	1.50831
735	-0.1	2693.78
736	-73.5	1.32661
737	0.1	2708.48
738	73.7	1.13208
739	-0.1	2723.22
740	-73.9	0.932491
741	0.1	2738
742	74.1	0.73579
743	-0.1	2752.82
744	-74.3	0.549822
745	0.1	2767.68
746	74.5	0.382
747	-0.1	2782.58
748	-74.7	0.239015
749	0.1	2797.52
750	74.9	0.126567
751	-0.1	2812.5
752	-75.1	0.0491401
753	0.1	2827.52
754	75.3	0.00982007
755	-0.1	2842.58
756	-75.5	0.0101747
757	0.1	2857.68
758	75.7	0.05019
759	-0.1	2872.82
760	-75.9	0.12827
761	0.1	2888
762	76.1	0.241303
763	-0.1	2903.22
764	-76.3	0.384782
765	0.1	2918.48
766	76.5	0.552988
767	-0.1	2933.78
768	-76.7	0.739213
769	0.1	2949.12
770	76.9	0.936035
771	-0.1	2964.5
772	-77.1	1.13561
773	0.1	2979.92
774	77.3	1.32997
775	-0.1	2995.38
776	-77.5	1.51138
777	0.1	3010.88
778	77.7	1.6726
779	-0.1	3026.42
780	-77.9	1.80721
781	0.1	3042
782	78.1	1.90983
783	-0.1	3057.62
784	-78.3	1.97638
785	0.1	3073.28
786	78.5	2.00421
787	-0.1	3088.98
788	-78.7	1.9922
789	0.1	3104.72
790	78.9	1.94083
791	-0.1	3120.5
792	-79.1	1.85216
793	0.1	3136.32
794	79.3	1.72971
795	-0.1	3152.18
796	-79.5	1.57837
797	0.1	3168.08
798	79.7	1.40417
799	-0.1	3184.02
800	-79.9	1.21406
801	0.1	3200
802	80.1	1.01561
803	-0.1	3216.02
804	-80.3	0.816743
805	0.1	3232.08
806	80.5	0.625378
807	-0.1	3248.18
808	-80.7	0.449148
809	0.1	3264.32
810	80.9	0.295078
811	-0.1	3280.5
812	-81.1	0.16931
813	0.1	3296.72
814	81.3	0.0768589
815	-0.1	3312.98
816	-81.5	0.0214095
817	0.1	3329.28
818	81.7	0.00517281
819	-0.1	3345.62
820	-81.9	0.028796
821	0.1	3362
822	82.1	0.0913374
823	-0.1	3378.42
824	-82.3	0.190304
825	0.1	3394.88
826	82.5	0.321749
827	-0.1	3411.38
828	-82.7	0.480434
829	0.1	3427.92
830	82.9	0.660031
831	-0.1	3444.5
832	-83.1	0.853382
833	0.1	3461.12
834	83.3	1.05278
835	-0.1	3477.78
836	-83.5	1.25027
837	0.1	3494.48
838	83.7	1.43798
839	-0.1	3511.22
840	-83.9	1.60843
841	0.1	3528
842	84.1	1.75482
843	-0.1	3544.82
844	-84.3	1.87132
845	0.1	3561.68
846	84.5	1.95329
847	-0.1	3578.58
848	-84.7	1.99744
849	0.1	3595.52
850	84.9	2.00204
851	-0.1	3612.5
852	-85.1	1.96688
853	0.1	3629.52
854	85.3	1.89338
855	-0.1	3646.58
856	-85.5	1.78446
857	0.1	3663.68
858	85.7	1.64446
859	-0.1	3680.82
860	-85.9	1.47897
861	0.1	3698
862	86.1	1.29459
863	-0.1	3715.22
864	-86.3	1.09866
865	0.1	3732.48
866	86.5	0.898998
867	-0.1	3749.78
868	-86.7	0.70356
869	0.1	3767.12
870	86.9	0.520141
871	-0.1	3784.5
872	-87.1	0.356051
873	0.1	3801.92
874	87.3	0.217833
875	-0.1	3819.38
876	-87.5	0.110997
877	0.1	3836.88
878	87.7	0.0398013
879	-0.1	3854.42
880	-87.9	0.00708549
881	0.1	3872
882	88.1	0.0141534
883	-0.1	3889.62
884	-88.3	0.0607231
885	0.1	3907.28
886	88.5	0.144938
887	-0.1	3924.98
888	-88.7	0.263441
889	0.1	3942.72
890	88.9	0.411508
891	-0.1	3960.5
892	-89.1	0.583235
893	0.1	3978.32
894	89.3	0.771777
895	-0.1	3996.18
896	-89.5	0.969617
897	0.1	4014.08
898	89.7	1.16887
899	-0.1	4032.02
900	-89.9	1.36158
901	0.1	4050
902	90.1	1.54009
903	-0.1	4068.02
904	-90.3	1.69726
905	0.1	4086.08
906	90.5	1.82683
907	-0.1	4104.18
908	-90.7	1.92363
909	0.1	4122.32
910	90.9	1.98382
911	-0.1	4140.5
912	-91.1	2.00498
913	0.1	4158.72
914	91.3	1.98628
915	-0.1	4176.98
916	-91.5	1.92845
917	0.1	4195.28
918	91.7	1.83381
919	-0.1	4213.62
920	-91.9	1.70613
921	0.1	4232
922	92.1	1.5505
923	-0.1	4250.42
924	-92.3	1.37312
925	0.1	4268.88
926	92.5	1.18106
927	-0.1	4287.38
928	-92.7	0.981985
929	0.1	4305.92
930	92.9	0.783827
931	-0.1	4324.5
932	-93.1	0.594487
933	0.1	4343.12
934	93.3	0.421512
935	-0.1	4361.78
936	-93.5	0.271799
937	0.1	4380.48
938	93.7	0.151317
939	-0.1	4399.22
940	-93.9	0.0648682
941	0.1	4418
942	94.1	0.0158995
943	-0.1	4436.82
944	-94.3	0.00636317
945	0.1	4455.68
946	94.5	0.0366393
947	-0.1	4474.58
948	-94.7	0.105521
949	0.1	4493.52
950	94.9	0.210262
951	-0.1	4512.5
952	-95.1	0.346687
953	0.1	4531.52
954	95.3	0.509356
955	-0.1	4550.58
956	-95.5	0.691786
957	0.1	4569.68
958	95.7	0.886702
959	-0.1	4588.82
960	-95.9	1.08633
961	0.1	4608
962	96.1	1.28272
963	-0.1	4627.22
964	-96.3	1.46804
965	0.1	4646.48
966	96.5	1.6349
967	-0.1	4665.78
968	-96.7	1.77665
