t	Theta Euler	Energy
60.9	-0.0507387	0.00985085
61.11	-0.0232553	0.00952272
61.32	0.00531136	0.00915391
61.53	0.0337038	0.00881225
61.74	0.0606695	0.00856056
61.95	0.0850163	0.00844584
62.16	0.105665	0.00849157
62.37	0.121697	0.00869384
62.58	0.132396	0.00902193
62.79	0.137279	0.00942329
63	0.136118	0.00983206
63.21	0.128952	0.0101802
63.42	0.116084	0.0104095
63.63	0.0980699	0.0104822
63.84	0.0756929	0.0103881
64.05	0.0499308	0.0101467
64.26	0.0219126	0.00980373
64.47	-0.00713071	0.00942288
64.68	-0.0359206	0.00907417
64.89	-0.0631868	0.00882171
65.1	-0.0877237	0.00871274
65.31	-0.108444	0.00876985
65.52	-0.124425	0.0089873
65.73	-0.134952	0.00933193
65.94	-0.13955	0.00974844
66.15	-0.138004	0.0101684
66.36	-0.130368	0.010522
66.57	-0.116967	0.01075
66.78	-0.0983802	0.0108148
66.99	-0.0754153	0.0107079
67.2	-0.0490765	0.010451
67.41	-0.020518	0.0100928
67.62	0.00900529	0.00969982
67.83	0.0381934	0.0093442
68.04	0.0657586	0.00909135
68.25	0.0904816	0.00898868
68.46	0.111266	0.00905781
68.67	0.127188	0.00929108
68.88	0.137534	0.00965276
69.09	0.141836	0.0100847
69.3	0.139893	0.010516
69.51	0.131776	0.0108748
69.72	0.117831	0.0111009
69.93	0.09866	0.0111574
70.14	0.075098	0.0110369
70.35	0.0481747	0.0107641
70.56	0.0190704	0.0103903
70.77	-0.0109361	0.00998499
70.98	-0.0405233	0.00962259
71.19	-0.0683855	0.00936977
71.4	-0.0932905	0.00927398
71.61	-0.114134	0.0093558
71.82	-0.129987	0.00960554
72.03	-0.140142	0.00998479
72.24	-0.144137	0.0104325
72.45	-0.141785	0.0108752
72.66	-0.133175	0.0112388
72.87	-0.118673	0.0114627
73.08	-0.0989082	0.0115101
73.29	-0.0747396	0.0113755
73.5	-0.0472243	0.0110861
73.71	-0.0175686	0.0106964
73.92	0.0129241	0.0102786
74.13	0.042911	0.00990965
74.34	0.0710684	0.00965727
74.55	0.0961508	0.00956899
74.76	0.117046	0.00966419
74.97	0.132823	0.00993105
75.18	0.142775	0.0103284
75.39	0.146453	0.0107922
75.6	0.143679	0.0112462
75.81	0.134563	0.0116145
76.02	0.119494	0.0118356
76.23	0.0991236	0.0118733
76.44	0.0743391	0.0117239
76.65	0.0462241	0.0114173
76.86	0.0160116	0.0110113
77.07	-0.0149704	0.010581
77.28	-0.0453573	0.0102057
77.49	-0.0738078	0.00995419
77.7	-0.0990631	0.00987404
77.91	-0.120003	0.00998334
78.12	-0.135694	0.010268
78.33	-0.145435	0.010684
78.54	-0.148782	0.0111642
78.75	-0.145575	0.0116295
78.96	-0.135941	0.0120023
79.17	-0.120292	0.01222
79.38	-0.0993053	0.0122473
79.59	-0.0738952	0.0120824
79.8	-0.045173	0.011758
80.01	-0.0143983	0.0113353
80.22	0.017076	0.0108925
80.43	0.0478633	0.0105109
80.64	0.0766045	0.0102609
80.85	0.102028	0.0101895
81.06	0.123005	0.0103136
81.27	0.138602	0.0106168
81.48	0.148119	0.011052
81.69	0.151124	0.0115488
81.9	0.147471	0.0120255
82.11	0.137307	0.0124023
82.32	0.121066	0.0126162
82.53	0.099452	0.0126323
82.74	0.0734068	0.0124512
82.95	0.0440697	0.0121085
83.16	0.0127275	0.0116687
83.37	-0.0192418	0.0112133
83.58	-0.0504297	0.0108258
83.79	-0.0794591	0.0105776
84	-0.105045	0.0105157
84.21	-0.126053	0.0106555
84.42	-0.141545	0.0109779
84.63	-0.150828	0.0114327
84.84	-0.153479	0.0119466
85.05	-0.149368	0.0124345
85.26	-0.13866	0.0128151
85.47	-0.121815	0.0130244
85.68	-0.0995625	0.0130288
85.89	-0.0728726	0.0128306
86.1	-0.042913	0.012469
86.31	-0.0109981	0.0120118
86.52	0.021469	0.0115437
86.73	0.0530574	0.0111506
86.94	0.0823723	0.0109048
87.15	0.108116	0.0108532
87.36	0.129146	0.0110093
87.57	0.144525	0.0113516
87.78	0.153563	0.0118267
87.99	0.155847	0.0123578
88.2	0.151263	0.012857
88.41	0.139999	0.0132409
88.62	0.122538	0.0134452
88.83	0.0996356	0.0134369
89.04	0.0722914	0.013221
89.25	0.0417018	0.0128398
89.46	0.0092088	0.0123649
89.67	-0.0237585	0.0118841
89.88	-0.0557473	0.0114856
90.09	-0.0853448	0.0112428
90.3	-0.111241	0.0112021
90.51	-0.132285	0.0113755
90.72	-0.14754	0.0117385
90.93	-0.156321	0.0122344
91.14	-0.158226	0.0127829
91.35	-0.153158	0.0132934
91.56	-0.141324	0.0136802
91.77	-0.123233	0.0138787
91.98	-0.0996702	0.0138571
92.19	-0.071662	0.0136227
92.4	-0.0404346	0.0132213
92.61	-0.00735856	0.0127282
92.82	0.0261115	0.0122347
93.03	0.0585003	0.0118312
93.24	0.0883773	0.0115921
93.45	0.11442	0.0115631
93.66	0.135471	0.0117545
93.87	0.150592	0.0121389
94.08	0.159103	0.0126562
94.29	0.160616	0.0132225
94.5	0.155049	0.013744
94.71	0.142633	0.0141334
94.92	0.123901	0.0143255
95.13	0.0996649	0.0142896
95.34	0.0709829	0.0140359
95.55	0.0391104	0.0136137
95.76	0.00544616	0.0131022
95.97	-0.0285289	0.012596
96.18	-0.0613173	0.0121878
96.39	-0.0914704	0.0119529
96.6	-0.117653	0.0119365
96.81	-0.138702	0.0121467
97.02	-0.153678	0.0125534
97.23	-0.161909	0.0130926
97.44	-0.163017	0.0136768
97.65	-0.156938	0.0142094
97.86	-0.143925	0.0146008
98.07	-0.124538	0.0147857
98.28	-0.0996185	0.0147348
98.49	-0.070253	0.014461
98.7	-0.0377277	0.0140174
98.91	-0.00347038	0.0134871
99.12	0.031012	0.0129682
99.33	0.0641991	0.0125557
99.54	0.0946248	0.0123258
99.75	0.120941	0.0123228
99.96	0.14198	0.0125528
100.17	0.156801	0.0129824
100.38	0.164738	0.0135441
100.59	0.165427	0.0141465
100.8	0.158823	0.0146899
101.01	0.1452	0.015083
101.22	0.125145	0.0152599
101.43	0.0995296	0.0151931
101.64	0.0694709	0.0148983
101.85	0.0362854	0.0144326
102.06	0.00143002	0.0138833
102.27	-0.0335616	0.0133518
102.48	-0.0671467	0.0129354
102.69	-0.0978411	0.0127111
102.9	-0.124285	0.0127224
103.11	-0.145304	0.012973
103.32	-0.159959	0.0134265
103.53	-0.16759	0.0140111
103.74	-0.167847	0.014632
103.95	-0.160702	0.0151861
104.16	-0.146456	0.0155802
104.37	-0.12572	0.0157485
104.58	-0.0993971	0.0156647
104.79	-0.0686353	0.0153481
105	-0.034782	0.0148598
105.21	0.00067616	0.0142911
105.42	0.036179	0.013747
105.63	0.0701609	0.0133273
105.84	0.10112	0.0131093
106.05	0.127685	0.0131357
106.26	0.148675	0.013408
106.47	0.163152	0.013886
106.68	0.170464	0.0144943
106.89	0.170275	0.0151338
107.1	0.162576	0.0156984
107.31	0.147691	0.016093
107.52	0.126262	0.0162517
107.73	0.0992195	0.0161502
107.94	0.0677447	0.0158109
108.15	0.0332163	0.0152992
108.36	-0.00284939	0.0147109
108.57	-0.0388652	0.0141544
108.78	-0.0732427	0.0137317
108.99	-0.104462	0.0135208
109.2	-0.131141	0.0135634
109.41	-0.152092	0.0138583
109.62	-0.16638	0.0143617
109.83	-0.17336	0.0149941
110.04	-0.17271	0.0156525
110.25	-0.164443	0.0162272
110.46	-0.148905	0.0166218
110.67	-0.126769	0.0167701
110.88	-0.0989954	0.0166498
111.09	-0.0667979	0.016287
111.3	-0.0315869	0.0157513
111.51	0.00509092	0.015143
111.72	0.0416213	0.0145742
111.93	0.0763929	0.0141492
112.14	0.107869	0.0139462
112.35	0.134653	0.0140059
112.56	0.155556	0.0143243
112.77	0.169643	0.014854
112.98	0.176278	0.0155111
113.19	0.175153	0.0161884
113.4	0.166301	0.0167732
113.61	0.150097	0.017167
113.82	0.12724	0.017304
114.03	0.0987235	0.017164
