t	Theta RK	Energy 
105.8	0.0527037	0.00499734
106	0.0685312	0.00499674
106.2	0.0816267	0.0049958
106.4	0.091468	0.00499473
106.6	0.0976628	0.00499385
106.8	0.0999643	0.00499348
107	0.0982806	0.00499375
107.2	0.0926789	0.00499456
107.4	0.0833824	0.00499561
107.6	0.0707619	0.00499658
107.8	0.0553204	0.00499723
108	0.0376735	0.00499753
108.2	0.0185247	0.0049976
108.4	-0.0013625	0.0049976
108.6	-0.0211954	0.00499759
108.8	-0.0401833	0.00499749
109	-0.0575693	0.00499713
109.2	-0.0726602	0.00499642
109.4	-0.0848544	0.00499542
109.6	-0.0936658	0.00499437
109.8	-0.0987432	0.00499361
110	-0.0998841	0.00499342
110.2	-0.097043	0.00499387
110.4	-0.0903332	0.00499479
110.6	-0.0800223	0.00499585
110.8	-0.0665212	0.00499673
111	-0.0503681	0.00499728
111.2	-0.0322072	0.0049975
111.4	-0.0127623	0.00499754
111.6	0.00719141	0.00499753
111.8	0.0268584	0.00499751
112	0.0454546	0.00499735
112.2	0.0622387	0.00499689
112.4	0.0765416	0.00499609
112.6	0.0877931	0.00499504
112.8	0.0955447	0.00499404
113	0.0994873	0.00499342
113.2	0.0994637	0.00499342
113.4	0.0954749	0.00499403
113.6	0.08768	0.00499503
113.8	0.0763896	0.00499607
114	0.062054	0.00499686
114.2	0.0452445	0.0049973
114.4	0.0266313	0.00499745
114.6	0.00695642	0.00499747
114.8	-0.0129957	0.00499746
115	-0.0324298	0.00499741
115.2	-0.050571	0.00499718
115.4	-0.0666961	0.00499662
115.6	-0.0801623	0.00499572
115.8	-0.0904328	0.00499465
116	-0.0970981	0.00499373
116.2	-0.0998925	0.00499328
116.4	-0.0987046	0.00499347
116.6	-0.0935818	0.00499423
116.8	-0.0847282	0.00499527
117	-0.0724969	0.00499626
117.2	-0.0573755	0.00499696
117.4	-0.0399668	0.0049973
117.6	-0.0209647	0.00499739
117.8	-0.00112696	0.0049974
118	0.0187557	0.00499739
118.2	0.0378907	0.0049973
118.4	0.0555151	0.00499699
118.6	0.0709263	0.00499632
118.8	0.08351	0.00499535
119	0.0927645	0.00499428
119.2	0.0983209	0.00499347
119.4	0.0999576	0.0049932
119.6	0.0976094	0.00499358
119.8	0.0913699	0.00499445
120	0.0814879	0.00499551
120.2	0.0683574	0.00499643
120.4	0.0525017	0.00499702
120.6	0.0345531	0.00499727
120.8	0.0152269	0.00499733
121	-0.00470625	0.00499733
121.2	-0.0244518	0.00499731
121.4	-0.0432225	0.00499717
121.6	-0.0602701	0.00499676
121.8	-0.074915	0.004996
122	-0.0865733	0.00499496
122.2	-0.0947803	0.00499394
122.4	-0.0992088	0.00499326
122.6	-0.0996822	0.00499318
122.8	-0.0961818	0.00499372
123	-0.088847	0.00499469
